"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","51904","testFilterHotel","Default Suite","Thu Aug 28 19:33:16 TRT 2025","passed","Thu Aug 28 19:34:08 TRT 2025","tests.TestFilterHotel","obilet-qa-case","tests.TestFilterHotel","testFilterHotel"
"","34073","testBusPassengerInformation","Default Suite","Thu Aug 28 19:34:35 TRT 2025","passed","Thu Aug 28 19:35:09 TRT 2025","tests.TestBusPassengerInformation","obilet-qa-case","tests.TestBusPassengerInformation","testBusPassengerInformation"
